https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume EUR,tradecount
1594080000000,2020-07-07,XRPEUR,0.1669,0.1673,0.16327,0.16486,166644.1,27458.628108,250
1593993600000,2020-07-06,XRPEUR,0.15842,0.16828,0.15752,0.16668,302644.9,50130.511198,374
1593907200000,2020-07-05,XRPEUR,0.1594,0.15976,0.15572,0.15862,78799.3,12458.983014,100
1593820800000,2020-07-04,XRPEUR,0.15835,0.16055,0.1581,0.159,33812.3,5390.966482,78
1593734400000,2020-07-03,XRPEUR,0.1564,0.15952,0.15608,0.15719,130789.5,20612.257535,257
1593648000000,2020-07-02,XRPEUR,0.1579,0.1583,0.15437,0.15649,169582.1,26513.428636,334
1593561600000,2020-07-01,XRPEUR,0.15698,0.15898,0.15594,0.15791,72544.9,11459.018457,162
1593475200000,2020-06-30,XRPEUR,0.15816,0.16198,0.15648,0.15648,235037.6,37317.675511,284
1593388800000,2020-06-29,XRPEUR,0.15838,0.16042,0.15642,0.15922,162733.8,25680.813963,294
1593302400000,2020-06-28,XRPEUR,0.1568,0.16111,0.15621,0.15862,46538.4,7409.110125,93
1593216000000,2020-06-27,XRPEUR,0.16394,0.16467,0.15308,0.1578,151638.9,24159.051341,282
1593129600000,2020-06-26,XRPEUR,0.1628,0.16812,0.1602,0.1648,215869.7,35713.22108,383
1593043200000,2020-06-25,XRPEUR,0.1632,0.16508,0.16,0.16281,258196.7,42232.199083,191
1592956800000,2020-06-24,XRPEUR,0.16779,0.16904,0.16273,0.16415,186222.2,30797.250332,280
1592870400000,2020-06-23,XRPEUR,0.16835,0.16938,0.16687,0.16797,244788.2,41143.28336,231
1592784000000,2020-06-22,XRPEUR,0.16752,0.16948,0.16734,0.16835,249537.8,42100.103535,354
1592697600000,2020-06-21,XRPEUR,0.1687,0.16922,0.1671,0.1671,161963.0,27301.380842,126
1592611200000,2020-06-20,XRPEUR,0.16812,0.16967,0.16679,0.16943,46423.4,7834.98454,98
1592524800000,2020-06-19,XRPEUR,0.17035,0.1706,0.16812,0.16911,94397.9,15994.984082,122
1592438400000,2020-06-18,XRPEUR,0.17281,0.17288,0.16948,0.17058,83870.3,14359.123382,200
1592352000000,2020-06-17,XRPEUR,0.17069,0.17839,0.16966,0.17323,196395.6,34124.060974,222
1592265600000,2020-06-16,XRPEUR,0.17122,0.1735,0.17012,0.17154,109381.9,18782.564405,162
1592179200000,2020-06-15,XRPEUR,0.16996,0.17175,0.16264,0.17045,141514.9,23452.668078,256
1592092800000,2020-06-14,XRPEUR,0.17171,0.17212,0.16943,0.17033,60019.6,10256.979413,123
